countrycode|language|isofficial|percentage
DNK|Norwegian|0|0.30000001
TGO|Naudemba|0|4.0999999
TCD|Tandjile|0|6.5
CZE|Romani|0|0.30000001
UGA|Lugbara|0|4.6999998
UKR|Polish|0|0.1
RUS|Mordva|0|0.5
VNM|Nung|0|1.1
USA|Tagalog|0|0.40000001
AGO|Ambo|0|2.4000001
AUS|German|0|0.60000002
ZAF|Tsonga|0|4.3000002
PHL|Pangasinan|0|1.8
IDN|Banja|0|1.8
IND|Kannada|0|3.9000001
IRN|Arabic|0|2.2
ITA|Romani|0|0.2
AUT|Romanian|0|0.2
CMR|Masana|0|3.9000001
CAN|Portuguese|0|0.69999999
KEN|Nyika|0|4.8000002
CHN|Tujia|0|0.5
COD|Teke|0|2.7
LBR|Malinke|0|5.0999999
MOZ|Ronga|0|3.7
MMR|Kayah|0|0.40000001
NAM|German|0|0.89999998
NGA|Tiv|0|2.3
PAK|Brahui|0|1.2
SLE|Yalunka|0|3.4000001
SDN|Fur|0|2.0999999
TZA|Luguru|0|4.9000001
TGO|Gurma|0|3.4000001
TCD|Gorane|0|6.1999998
CZE|Hungarian|0|0.2
UGA|Gisu|0|4.5
RUS|Kazakh|0|0.40000001
VNM|Miao|0|0.89999998
USA|Polish|0|0.30000001
AGO|Luchazi|0|2.4000001
ZAF|Swazi|0|2.5
PHL|Maguindanao|0|1.4
IDN|Bali|0|1.7
IND|Malajalam|0|3.5999999
IRN|Bakhtyari|0|1.7
CAN|Punjabi|0|0.69999999
KEN|Masai|0|1.6
CHN|Mongolian|0|0.40000001
COD|Boa|0|2.3
MOZ|Marendje|0|3.5
NGA|Ijo|0|1.8
SDN|Chilluk|0|1.7
TZA|Shambala|0|4.3000002
UGA|Acholi|0|4.4000001
RUS|Avarian|0|0.40000001
VNM|Man|0|0.69999999
USA|Korean|0|0.30000001
ZAF|Venda|0|2.2
PHL|Maranao|0|1.3
IND|Orija|0|3.3
IRN|Turkmenian|0|1.6
CAN|Ukrainian|0|0.60000002
KEN|Turkana|0|1.4
CHN|Tibetan|0|0.40000001
COD|Chokwe|0|1.8
MOZ|Nyanja|0|3.3
NGA|Bura|0|1.6
SDN|Lotuko|0|1.5
TZA|Gogo|0|3.9000001
UGA|Rwanda|0|3.2
RUS|Mari|0|0.40000001
USA|Vietnamese|0|0.2
ZAF|Ndebele|0|1.5
IND|Punjabi|0|2.8
CAN|Dutch|0|0.5
CHN|Puyi|0|0.2
TZA|Ha|0|3.5
RUS|Udmur|0|0.30000001
USA|Japanese|0|0.2
IND|Asami|0|1.5
CAN|Eskimo Languages|0|0.1
CHN|Dong|0|0.2
RUS|Belorussian|0|0.30000001
USA|Portuguese|0|0.2
